Log file created at: 2024-07-29 13:40:43 929 139602401347712
2024-07-29 16:42:39 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:42:40 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:42:40 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:42:41 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:42:56 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:43:00 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:43:00 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:43:01 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:43:16 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:43:18 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:18 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:19 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:21 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:22 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:30 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:32 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:38 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:39 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:40 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:41 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:41 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:42 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:43 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:44:43 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:48:37 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:48:38 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:48:40 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:48:40 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:48:41 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:48:41 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:49:48 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:49:48 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:51:50 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:51:50 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:51:51 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:51:52 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:51:55 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:51:56 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:52:13 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:52:14 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:52:42 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:52:43 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:53:06 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:53:07 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:53:08 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:53:09 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:53:30 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:53:32 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:55:08 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2024-07-29 16:55:11 895 138067533465728 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
